Country,Minimum_Wage_Local,Currency,Wage_Period,Minimum_Wage_USD_Monthly,Year,Notes,has_minimum_wage,currency_encoded,period_encoded,curr_AFN,curr_ALL,curr_AOA,curr_ARS,curr_DZD,curr_EUR,curr_USD,curr_XAF,curr_XCD,curr_XOF,period_Hourly,period_Monthly,period_Weekly,note_has_statutory,note_has_collective,note_has_sector
Taiwan,28590.0,TWD,Monthly,892.0,2025,National minimum wage,1,121,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Tajikistan,800.0,TJS,Monthly,73.0,2025,National minimum wage,1,116,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Tanzania,,TZS,,,2025,Varies by sector; no universal minimum,0,122,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1
Thailand,367.0,THB,Daily,322.0,2025,National minimum wage (varies by province),1,115,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Timor-Leste,115.0,USD,Monthly,115.0,2025,National minimum wage,1,125,4.0,False,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0
Togo,52000.0,XOF,Monthly,85.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Trinidad and Tobago,20.5,TTD,Hourly,182.0,2025,National minimum wage,1,120,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Tunisia,475.92,TND,Monthly,149.0,2025,National minimum wage (SMIG; industry sector),1,118,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,1
Turkey,26005.5,TRY,Monthly,752.0,2025,National minimum wage (asgari ücret),1,119,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Turkmenistan,,TMT,,,2025,State-controlled; no market minimum wage data,0,117,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Uganda,,UGX,,,2025,No national minimum wage,0,124,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Ukraine,8000.0,UAH,Monthly,193.0,2025,National minimum wage,1,123,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
United Arab Emirates,,AED,,,2025,No national minimum wage (sector-specific guidance),0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,1
United Kingdom,12.21,GBP,Hourly,1881.0,2025,National Living Wage (21+ years),1,39,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
United States,7.25,USD,Hourly,1257.0,2025,Federal minimum wage (state rates often higher),1,125,1.0,False,False,False,False,False,False,True,False,False,False,True,False,False,0,0,0
Uruguay,22268.0,UYU,Monthly,552.0,2025,National minimum wage,1,126,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Uzbekistan,1050000.0,UZS,Monthly,82.0,2025,National minimum wage,1,127,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Vanuatu,,VUV,,,2025,Minimum wage set by occupation,0,130,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
